File Name,Type,PSNR,SSIM
ShimatteIkouze_vol01_027,B/W,12.9151,0.8641
ShimatteIkouze_vol01_033,B/W,12.2117,0.8450
ShimatteIkouze_vol01_078,B/W,13.3702,0.8694
ShimatteIkouze_vol01_056,B/W,13.0836,0.8615
ShimatteIkouze_vol01_086,B/W,13.6095,0.8628
ShimatteIkouze_vol01_103,B/W,12.5759,0.8508
ShimatteIkouze_vol01_053,B/W,12.5428,0.8625
ShimatteIkouze_vol01_010,B/W,13.2544,0.8673
ShimatteIkouze_vol01_080,B/W,13.3669,0.8762
ShimatteIkouze_vol01_083,B/W,13.0001,0.8649
ShimatteIkouze_vol01_054,B/W,13.1786,0.8665
ShimatteIkouze_vol01_005,B/W,12.9244,0.8481
ShimatteIkouze_vol01_082,B/W,13.3308,0.8688
ShimatteIkouze_vol01_009,B/W,12.0919,0.8466
ShimatteIkouze_vol01_023,B/W,12.7394,0.8544
ShimatteIkouze_vol01_041,B/W,12.5945,0.8577
ShimatteIkouze_vol01_072,B/W,13.1242,0.8684
ShimatteIkouze_vol01_084,B/W,13.2354,0.8614
ShimatteIkouze_vol01_003,B/W,12.9986,0.8665
ShimatteIkouze_vol01_059,B/W,12.9541,0.8678
ShimatteIkouze_vol01_062,B/W,13.1892,0.8605
ShimatteIkouze_vol01_101,B/W,13.1173,0.8551
ShimatteIkouze_vol01_106,B/W,12.8478,0.8630
ShimatteIkouze_vol01_025,B/W,12.5664,0.8743
ShimatteIkouze_vol01_000_hybrid_color_B,B/W,17.5350,0.8389
ShimatteIkouze_vol01_058,B/W,13.3360,0.8733
ShimatteIkouze_vol01_065,B/W,13.0003,0.8644
ShimatteIkouze_vol01_089,B/W,12.7556,0.8651
ShimatteIkouze_vol01_016,B/W,12.9888,0.8619
ShimatteIkouze_vol01_046,B/W,13.0808,0.8617
ShimatteIkouze_vol01_050,B/W,13.0105,0.8695
ShimatteIkouze_vol01_091,B/W,13.2978,0.8707
ShimatteIkouze_vol01_029,B/W,13.3688,0.8555
ShimatteIkouze_vol01_037,B/W,13.3645,0.8656
ShimatteIkouze_vol01_061,B/W,13.6577,0.8719
ShimatteIkouze_vol01_038,B/W,13.1021,0.8528
ShimatteIkouze_vol01_020,B/W,13.5331,0.8674
ShimatteIkouze_vol01_068,B/W,13.1774,0.8631
ShimatteIkouze_vol01_094,B/W,13.1283,0.8537
ShimatteIkouze_vol01_088,B/W,12.9905,0.8554
ShimatteIkouze_vol01_000_hybrid_bw,B/W,14.5260,0.8125
ShimatteIkouze_vol01_006,B/W,12.3783,0.8519
ShimatteIkouze_vol01_045,B/W,12.4945,0.8574
ShimatteIkouze_vol01_001,B/W,11.7686,0.8299
ShimatteIkouze_vol01_073,B/W,13.1113,0.8546
ShimatteIkouze_vol01_021,B/W,13.6881,0.8790
ShimatteIkouze_vol01_060,B/W,13.4435,0.8584
ShimatteIkouze_vol01_014,B/W,12.9259,0.8725
ShimatteIkouze_vol01_075,B/W,13.2230,0.8403
ShimatteIkouze_vol01_070,B/W,13.4909,0.8474
ShimatteIkouze_vol01_079,B/W,13.1896,0.8644
ShimatteIkouze_vol01_013,B/W,12.9466,0.8674
ShimatteIkouze_vol01_055,B/W,13.0548,0.8717
ShimatteIkouze_vol01_024,B/W,13.0738,0.8664
ShimatteIkouze_vol01_002,B/W,13.3811,0.8741
ShimatteIkouze_vol01_034,B/W,13.4224,0.8725
ShimatteIkouze_vol01_071,B/W,13.1038,0.8581
ShimatteIkouze_vol01_081,B/W,13.4271,0.8647
ShimatteIkouze_vol01_077,B/W,13.1259,0.8562
ShimatteIkouze_vol01_039,B/W,12.4922,0.8575
ShimatteIkouze_vol01_100,B/W,13.3300,0.8613
ShimatteIkouze_vol01_048,B/W,12.7113,0.8499
ShimatteIkouze_vol01_000_hybrid_color_R,B/W,17.7808,0.8178
ShimatteIkouze_vol01_011,B/W,13.1031,0.8771
ShimatteIkouze_vol01_030,B/W,12.6099,0.8394
ShimatteIkouze_vol01_063,B/W,12.5004,0.8487
ShimatteIkouze_vol01_036,B/W,13.5143,0.8777
ShimatteIkouze_vol01_095,B/W,13.6665,0.8748
ShimatteIkouze_vol01_018,B/W,13.2808,0.8735
ShimatteIkouze_vol01_043,B/W,12.5393,0.8518
ShimatteIkouze_vol01_102,B/W,12.9228,0.8552
ShimatteIkouze_vol01_040,B/W,13.1000,0.8550
ShimatteIkouze_vol01_107_color_B,B/W,27.2387,0.9617
ShimatteIkouze_vol01_004,B/W,13.3193,0.8580
ShimatteIkouze_vol01_076,B/W,13.5434,0.8592
ShimatteIkouze_vol01_107_color_R,B/W,27.7164,0.9651
ShimatteIkouze_vol01_012,B/W,13.1022,0.8676
ShimatteIkouze_vol01_099,B/W,12.9258,0.8595
ShimatteIkouze_vol01_022,B/W,13.7105,0.8846
ShimatteIkouze_vol01_092,B/W,13.3162,0.8602
ShimatteIkouze_vol01_093,B/W,13.1442,0.8570
ShimatteIkouze_vol01_074,B/W,13.1416,0.8694
ShimatteIkouze_vol01_035,B/W,12.5803,0.8404
ShimatteIkouze_vol01_026,B/W,13.4365,0.8690
ShimatteIkouze_vol01_098,B/W,13.3672,0.8619
ShimatteIkouze_vol01_017,B/W,13.4368,0.8792
ShimatteIkouze_vol01_031,B/W,13.1723,0.8586
ShimatteIkouze_vol01_000_hybrid_color_G,B/W,17.1647,0.8426
ShimatteIkouze_vol01_107_color_G,B/W,26.6052,0.9671
ShimatteIkouze_vol01_090,B/W,12.8844,0.8543
ShimatteIkouze_vol01_044,B/W,12.5114,0.8567
ShimatteIkouze_vol01_067,B/W,13.1648,0.8714
ShimatteIkouze_vol01_066,B/W,12.9104,0.8617
ShimatteIkouze_vol01_057,B/W,12.6969,0.8564
ShimatteIkouze_vol01_051,B/W,13.0818,0.8714
ShimatteIkouze_vol01_105,B/W,12.7853,0.8581
ShimatteIkouze_vol01_032,B/W,14.0525,0.8880
ShimatteIkouze_vol01_042,B/W,12.8834,0.8484
ShimatteIkouze_vol01_015,B/W,12.8523,0.8709
ShimatteIkouze_vol01_064,B/W,12.5454,0.8346
ShimatteIkouze_vol01_096,B/W,13.2367,0.8572
ShimatteIkouze_vol01_069,B/W,13.2804,0.8661
ShimatteIkouze_vol01_052,B/W,13.9545,0.8753
ShimatteIkouze_vol01_008,B/W,11.8936,0.8359
ShimatteIkouze_vol01_049,B/W,12.3541,0.8575
ShimatteIkouze_vol01_097,B/W,12.6075,0.8580
ShimatteIkouze_vol01_019,B/W,13.2545,0.8702
ShimatteIkouze_vol01_007,B/W,12.8927,0.8565
ShimatteIkouze_vol01_047,B/W,13.2258,0.8658
ShimatteIkouze_vol01_085,B/W,12.8454,0.8623
ShimatteIkouze_vol01_104,B/W,12.7415,0.8577
ShimatteIkouze_vol01_028,B/W,12.6380,0.8348
ShimatteIkouze_vol01_087,B/W,13.0732,0.8486
AkkeraKanjinchou_027,B/W,18.5107,0.9183
AkkeraKanjinchou_033,B/W,17.6215,0.9065
AkkeraKanjinchou_078,B/W,14.7888,0.8817
AkkeraKanjinchou_056,B/W,15.8968,0.8845
AkkeraKanjinchou_086,B/W,14.7715,0.8856
AkkeraKanjinchou_053,B/W,15.3005,0.8852
AkkeraKanjinchou_010,B/W,15.3355,0.8814
AkkeraKanjinchou_080,B/W,18.1998,0.9157
AkkeraKanjinchou_083,B/W,15.9189,0.8876
AkkeraKanjinchou_054,B/W,15.7100,0.8749
AkkeraKanjinchou_005,B/W,15.7967,0.8825
AkkeraKanjinchou_082,B/W,16.3517,0.9005
AkkeraKanjinchou_009,B/W,14.4240,0.8694
AkkeraKanjinchou_023,B/W,14.7245,0.8623
AkkeraKanjinchou_041,B/W,15.7163,0.8772
AkkeraKanjinchou_072,B/W,15.8098,0.8955
AkkeraKanjinchou_084,B/W,16.2052,0.8964
AkkeraKanjinchou_003,B/W,17.8051,0.9094
AkkeraKanjinchou_059,B/W,16.1294,0.8798
AkkeraKanjinchou_062,B/W,16.8524,0.8880
AkkeraKanjinchou_091_hybrid_color_G,B/W,18.3965,0.8093
AkkeraKanjinchou_025,B/W,17.1901,0.8992
AkkeraKanjinchou_000_hybrid_color_B,B/W,17.5642,0.7778
AkkeraKanjinchou_058,B/W,15.8429,0.8850
AkkeraKanjinchou_065,B/W,15.1464,0.8714
AkkeraKanjinchou_089,B/W,16.9022,0.8865
AkkeraKanjinchou_016,B/W,15.3008,0.8727
AkkeraKanjinchou_046,B/W,15.4531,0.8726
AkkeraKanjinchou_050,B/W,15.2109,0.8797
AkkeraKanjinchou_029,B/W,15.7943,0.8863
AkkeraKanjinchou_037,B/W,14.8196,0.8633
AkkeraKanjinchou_061,B/W,16.6562,0.8935
AkkeraKanjinchou_038,B/W,16.3040,0.9012
AkkeraKanjinchou_020,B/W,14.3936,0.8625
AkkeraKanjinchou_068,B/W,16.4391,0.9119
AkkeraKanjinchou_088,B/W,14.9527,0.8954
AkkeraKanjinchou_000_hybrid_bw,B/W,14.9616,0.7902
AkkeraKanjinchou_006,B/W,15.4640,0.8766
AkkeraKanjinchou_045,B/W,14.9710,0.8756
AkkeraKanjinchou_001,B/W,17.8118,0.9113
AkkeraKanjinchou_073,B/W,15.5920,0.8765
AkkeraKanjinchou_021,B/W,15.7117,0.8775
AkkeraKanjinchou_060,B/W,15.9227,0.8818
AkkeraKanjinchou_014,B/W,17.0008,0.8941
AkkeraKanjinchou_075,B/W,15.5441,0.8864
AkkeraKanjinchou_070,B/W,15.1865,0.8987
AkkeraKanjinchou_079,B/W,15.9790,0.8864
AkkeraKanjinchou_013,B/W,15.8311,0.8845
AkkeraKanjinchou_055,B/W,16.3059,0.8768
AkkeraKanjinchou_024,B/W,16.1719,0.8815
AkkeraKanjinchou_002,B/W,19.3253,0.9083
AkkeraKanjinchou_034,B/W,15.9260,0.8826
AkkeraKanjinchou_071,B/W,15.3040,0.8807
AkkeraKanjinchou_081,B/W,17.3241,0.8877
AkkeraKanjinchou_077,B/W,15.4634,0.8866
AkkeraKanjinchou_039,B/W,15.8760,0.8741
AkkeraKanjinchou_048,B/W,15.3238,0.8757
AkkeraKanjinchou_000_hybrid_color_R,B/W,17.7267,0.7628
AkkeraKanjinchou_011,B/W,15.2356,0.8714
AkkeraKanjinchou_030,B/W,14.6024,0.8624
AkkeraKanjinchou_063,B/W,14.6266,0.8894
AkkeraKanjinchou_036,B/W,15.6475,0.8821
AkkeraKanjinchou_018,B/W,15.4062,0.8860
AkkeraKanjinchou_043,B/W,15.1605,0.8753
AkkeraKanjinchou_040,B/W,15.6351,0.8815
